icd_code;diagnose_name;description
M81.44;Arzneimittelinduzierte Osteoporose: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteoporose ohne pathologische Fraktur
M81.45;Arzneimittelinduzierte Osteoporose: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteoporose ohne pathologische Fraktur
M81.46;Arzneimittelinduzierte Osteoporose: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteoporose ohne pathologische Fraktur
M81.47;Arzneimittelinduzierte Osteoporose: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteoporose ohne pathologische Fraktur
M81.48;Arzneimittelinduzierte Osteoporose: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteoporose ohne pathologische Fraktur
M81.49;Arzneimittelinduzierte Osteoporose: Nicht näher bezeichnete Lokalisation;Osteoporose ohne pathologische Fraktur
M81.5-;Idiopathische Osteoporose;Osteoporose ohne pathologische Fraktur
M81.50;Idiopathische Osteoporose: Mehrere Lokalisationen;Osteoporose ohne pathologische Fraktur
M81.51;Idiopathische Osteoporose: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteoporose ohne pathologische Fraktur
M81.52;Idiopathische Osteoporose: Oberarm [Humerus, Ellenbogengelenk];Osteoporose ohne pathologische Fraktur
M81.53;Idiopathische Osteoporose: Unterarm [Radius, Ulna, Handgelenk];Osteoporose ohne pathologische Fraktur
M81.54;Idiopathische Osteoporose: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteoporose ohne pathologische Fraktur
M81.55;Idiopathische Osteoporose: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteoporose ohne pathologische Fraktur
M81.56;Idiopathische Osteoporose: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteoporose ohne pathologische Fraktur
M81.57;Idiopathische Osteoporose: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteoporose ohne pathologische Fraktur
M81.58;Idiopathische Osteoporose: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteoporose ohne pathologische Fraktur
M81.59;Idiopathische Osteoporose: Nicht näher bezeichnete Lokalisation;Osteoporose ohne pathologische Fraktur
M81.6-;Lokalisierte Osteoporose [Lequesne];Osteoporose ohne pathologische Fraktur
M81.60;Lokalisierte Osteoporose [Lequesne]: Mehrere Lokalisationen;Osteoporose ohne pathologische Fraktur
M81.65;Lokalisierte Osteoporose [Lequesne]: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteoporose ohne pathologische Fraktur
M81.66;Lokalisierte Osteoporose [Lequesne]: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteoporose ohne pathologische Fraktur
M81.67;Lokalisierte Osteoporose [Lequesne]: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteoporose ohne pathologische Fraktur
M81.69;Lokalisierte Osteoporose [Lequesne]: Nicht näher bezeichnete Lokalisation;Osteoporose ohne pathologische Fraktur
M81.8-;Sonstige Osteoporose;Osteoporose ohne pathologische Fraktur
M81.80;Sonstige Osteoporose: Mehrere Lokalisationen;Osteoporose ohne pathologische Fraktur
M81.81;Sonstige Osteoporose: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteoporose ohne pathologische Fraktur
M81.82;Sonstige Osteoporose: Oberarm [Humerus, Ellenbogengelenk];Osteoporose ohne pathologische Fraktur
M81.83;Sonstige Osteoporose: Unterarm [Radius, Ulna, Handgelenk];Osteoporose ohne pathologische Fraktur
M81.84;Sonstige Osteoporose: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteoporose ohne pathologische Fraktur
M81.85;Sonstige Osteoporose: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteoporose ohne pathologische Fraktur
M81.86;Sonstige Osteoporose: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteoporose ohne pathologische Fraktur
M81.87;Sonstige Osteoporose: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteoporose ohne pathologische Fraktur
M81.88;Sonstige Osteoporose: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteoporose ohne pathologische Fraktur
M81.89;Sonstige Osteoporose: Nicht näher bezeichnete Lokalisation;Osteoporose ohne pathologische Fraktur
M81.9-;Osteoporose, nicht näher bezeichnet;Osteoporose ohne pathologische Fraktur
M81.90;Osteoporose, nicht näher bezeichnet: Mehrere Lokalisationen;Osteoporose ohne pathologische Fraktur
M81.91;Osteoporose, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteoporose ohne pathologische Fraktur
M81.92;Osteoporose, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk];Osteoporose ohne pathologische Fraktur
M81.93;Osteoporose, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk];Osteoporose ohne pathologische Fraktur
M81.94;Osteoporose, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteoporose ohne pathologische Fraktur
M81.95;Osteoporose, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteoporose ohne pathologische Fraktur
M81.96;Osteoporose, nicht näher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteoporose ohne pathologische Fraktur
M81.97;Osteoporose, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteoporose ohne pathologische Fraktur
M81.98;Osteoporose, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteoporose ohne pathologische Fraktur
M81.99;Osteoporose, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation;Osteoporose ohne pathologische Fraktur
M82.-*;Osteoporose bei anderenorts klassifizierten Krankheiten;Osteoporose bei anderenorts klassifizierten Krankheiten
M82.0-*;Osteoporose bei Plasmozytom;Osteoporose bei anderenorts klassifizierten Krankheiten
M82.00*;Osteoporose bei Plasmozytom: Mehrere Lokalisationen;Osteoporose bei anderenorts klassifizierten Krankheiten
M82.01*;Osteoporose bei Plasmozytom: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.02*;Osteoporose bei Plasmozytom: Oberarm [Humerus, Ellenbogengelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.03*;Osteoporose bei Plasmozytom: Unterarm [Radius, Ulna, Handgelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.04*;Osteoporose bei Plasmozytom: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.05*;Osteoporose bei Plasmozytom: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.06*;Osteoporose bei Plasmozytom: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.07*;Osteoporose bei Plasmozytom: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.08*;Osteoporose bei Plasmozytom: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.09*;Osteoporose bei Plasmozytom: Nicht näher bezeichnete Lokalisation;Osteoporose bei anderenorts klassifizierten Krankheiten
M82.1-*;Osteoporose bei endokrinen Störungen;Osteoporose bei anderenorts klassifizierten Krankheiten
M82.10*;Osteoporose bei endokrinen Störungen: Mehrere Lokalisationen;Osteoporose bei anderenorts klassifizierten Krankheiten
M82.11*;Osteoporose bei endokrinen Störungen: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.12*;Osteoporose bei endokrinen Störungen: Oberarm [Humerus, Ellenbogengelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.13*;Osteoporose bei endokrinen Störungen: Unterarm [Radius, Ulna, Handgelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.14*;Osteoporose bei endokrinen Störungen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.15*;Osteoporose bei endokrinen Störungen: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.16*;Osteoporose bei endokrinen Störungen: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.17*;Osteoporose bei endokrinen Störungen: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.18*;Osteoporose bei endokrinen Störungen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.19*;Osteoporose bei endokrinen Störungen: Nicht näher bezeichnete Lokalisation;Osteoporose bei anderenorts klassifizierten Krankheiten
M82.8-*;Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten;Osteoporose bei anderenorts klassifizierten Krankheiten
M82.80*;Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Mehrere Lokalisationen;Osteoporose bei anderenorts klassifizierten Krankheiten
M82.81*;Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.82*;Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Oberarm [Humerus, Ellenbogengelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.83*;Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Unterarm [Radius, Ulna, Handgelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.84*;Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.85*;Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.86*;Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.87*;Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.88*;Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteoporose bei anderenorts klassifizierten Krankheiten
M82.89*;Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Nicht näher bezeichnete Lokalisation;Osteoporose bei anderenorts klassifizierten Krankheiten
M83.-;Osteomalazie im Erwachsenenalter;Osteomalazie im Erwachsenenalter
M83.0-;Osteomalazie im Wochenbett;Osteomalazie im Erwachsenenalter
M83.00;Osteomalazie im Wochenbett: Mehrere Lokalisationen;Osteomalazie im Erwachsenenalter
M83.01;Osteomalazie im Wochenbett: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteomalazie im Erwachsenenalter
M83.02;Osteomalazie im Wochenbett: Oberarm [Humerus, Ellenbogengelenk];Osteomalazie im Erwachsenenalter
M83.03;Osteomalazie im Wochenbett: Unterarm [Radius, Ulna, Handgelenk];Osteomalazie im Erwachsenenalter
M83.04;Osteomalazie im Wochenbett: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteomalazie im Erwachsenenalter
M83.05;Osteomalazie im Wochenbett: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteomalazie im Erwachsenenalter
M83.06;Osteomalazie im Wochenbett: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteomalazie im Erwachsenenalter
M83.07;Osteomalazie im Wochenbett: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteomalazie im Erwachsenenalter
M83.08;Osteomalazie im Wochenbett: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteomalazie im Erwachsenenalter
M83.09;Osteomalazie im Wochenbett: Nicht näher bezeichnete Lokalisation;Osteomalazie im Erwachsenenalter
M83.1-;Senile Osteomalazie;Osteomalazie im Erwachsenenalter
M83.10;Senile Osteomalazie: Mehrere Lokalisationen;Osteomalazie im Erwachsenenalter
M83.11;Senile Osteomalazie: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteomalazie im Erwachsenenalter
M83.12;Senile Osteomalazie: Oberarm [Humerus, Ellenbogengelenk];Osteomalazie im Erwachsenenalter
M83.13;Senile Osteomalazie: Unterarm [Radius, Ulna, Handgelenk];Osteomalazie im Erwachsenenalter
M83.14;Senile Osteomalazie: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteomalazie im Erwachsenenalter
M83.15;Senile Osteomalazie: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteomalazie im Erwachsenenalter
M83.16;Senile Osteomalazie: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteomalazie im Erwachsenenalter
M83.17;Senile Osteomalazie: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteomalazie im Erwachsenenalter
M83.18;Senile Osteomalazie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteomalazie im Erwachsenenalter
M83.19;Senile Osteomalazie: Nicht näher bezeichnete Lokalisation;Osteomalazie im Erwachsenenalter
M83.2-;Osteomalazie im Erwachsenenalter durch Malabsorption;Osteomalazie im Erwachsenenalter
M83.20;Osteomalazie im Erwachsenenalter durch Malabsorption: Mehrere Lokalisationen;Osteomalazie im Erwachsenenalter
M83.21;Osteomalazie im Erwachsenenalter durch Malabsorption: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteomalazie im Erwachsenenalter
M83.22;Osteomalazie im Erwachsenenalter durch Malabsorption: Oberarm [Humerus, Ellenbogengelenk];Osteomalazie im Erwachsenenalter
M83.23;Osteomalazie im Erwachsenenalter durch Malabsorption: Unterarm [Radius, Ulna, Handgelenk];Osteomalazie im Erwachsenenalter
M83.24;Osteomalazie im Erwachsenenalter durch Malabsorption: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteomalazie im Erwachsenenalter
M83.25;Osteomalazie im Erwachsenenalter durch Malabsorption: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteomalazie im Erwachsenenalter
M83.26;Osteomalazie im Erwachsenenalter durch Malabsorption: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteomalazie im Erwachsenenalter
M83.27;Osteomalazie im Erwachsenenalter durch Malabsorption: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteomalazie im Erwachsenenalter
M83.28;Osteomalazie im Erwachsenenalter durch Malabsorption: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteomalazie im Erwachsenenalter
M83.29;Osteomalazie im Erwachsenenalter durch Malabsorption: Nicht näher bezeichnete Lokalisation;Osteomalazie im Erwachsenenalter
M83.3-;Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung;Osteomalazie im Erwachsenenalter
M83.30;Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Mehrere Lokalisationen;Osteomalazie im Erwachsenenalter
M83.31;Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteomalazie im Erwachsenenalter
M83.32;Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Oberarm [Humerus, Ellenbogengelenk];Osteomalazie im Erwachsenenalter
M83.33;Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Unterarm [Radius, Ulna, Handgelenk];Osteomalazie im Erwachsenenalter
M83.34;Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteomalazie im Erwachsenenalter
M83.35;Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteomalazie im Erwachsenenalter
M83.36;Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteomalazie im Erwachsenenalter
M83.37;Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteomalazie im Erwachsenenalter
M83.38;Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteomalazie im Erwachsenenalter
M83.39;Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Nicht näher bezeichnete Lokalisation;Osteomalazie im Erwachsenenalter
M83.4-;Aluminiumosteopathie;Osteomalazie im Erwachsenenalter
M83.40;Aluminiumosteopathie: Mehrere Lokalisationen;Osteomalazie im Erwachsenenalter
M83.41;Aluminiumosteopathie: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteomalazie im Erwachsenenalter
M83.42;Aluminiumosteopathie: Oberarm [Humerus, Ellenbogengelenk];Osteomalazie im Erwachsenenalter
M83.43;Aluminiumosteopathie: Unterarm [Radius, Ulna, Handgelenk];Osteomalazie im Erwachsenenalter
M83.44;Aluminiumosteopathie: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteomalazie im Erwachsenenalter
M83.45;Aluminiumosteopathie: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteomalazie im Erwachsenenalter
M83.46;Aluminiumosteopathie: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteomalazie im Erwachsenenalter
M83.47;Aluminiumosteopathie: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteomalazie im Erwachsenenalter
M83.48;Aluminiumosteopathie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteomalazie im Erwachsenenalter
M83.49;Aluminiumosteopathie: Nicht näher bezeichnete Lokalisation;Osteomalazie im Erwachsenenalter
M83.5-;Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen;Osteomalazie im Erwachsenenalter
M83.50;Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Mehrere Lokalisationen;Osteomalazie im Erwachsenenalter
M83.51;Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteomalazie im Erwachsenenalter
M83.52;Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Oberarm [Humerus, Ellenbogengelenk];Osteomalazie im Erwachsenenalter
M83.53;Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Unterarm [Radius, Ulna, Handgelenk];Osteomalazie im Erwachsenenalter
M83.54;Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteomalazie im Erwachsenenalter
M83.55;Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteomalazie im Erwachsenenalter
M83.56;Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteomalazie im Erwachsenenalter
M83.57;Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteomalazie im Erwachsenenalter
M83.58;Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteomalazie im Erwachsenenalter
M83.59;Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Nicht näher bezeichnete Lokalisation;Osteomalazie im Erwachsenenalter
M83.8-;Sonstige Osteomalazie im Erwachsenenalter;Osteomalazie im Erwachsenenalter
M83.80;Sonstige Osteomalazie im Erwachsenenalter: Mehrere Lokalisationen;Osteomalazie im Erwachsenenalter
M83.81;Sonstige Osteomalazie im Erwachsenenalter: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteomalazie im Erwachsenenalter
M83.82;Sonstige Osteomalazie im Erwachsenenalter: Oberarm [Humerus, Ellenbogengelenk];Osteomalazie im Erwachsenenalter
M83.83;Sonstige Osteomalazie im Erwachsenenalter: Unterarm [Radius, Ulna, Handgelenk];Osteomalazie im Erwachsenenalter
M83.84;Sonstige Osteomalazie im Erwachsenenalter: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteomalazie im Erwachsenenalter
M83.85;Sonstige Osteomalazie im Erwachsenenalter: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteomalazie im Erwachsenenalter
M83.86;Sonstige Osteomalazie im Erwachsenenalter: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteomalazie im Erwachsenenalter
M83.87;Sonstige Osteomalazie im Erwachsenenalter: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteomalazie im Erwachsenenalter
M83.88;Sonstige Osteomalazie im Erwachsenenalter: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteomalazie im Erwachsenenalter
M83.89;Sonstige Osteomalazie im Erwachsenenalter: Nicht näher bezeichnete Lokalisation;Osteomalazie im Erwachsenenalter
M83.9-;Osteomalazie im Erwachsenenalter, nicht näher bezeichnet;Osteomalazie im Erwachsenenalter
M83.90;Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Mehrere Lokalisationen;Osteomalazie im Erwachsenenalter
M83.91;Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Osteomalazie im Erwachsenenalter
M83.92;Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk];Osteomalazie im Erwachsenenalter
M83.93;Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk];Osteomalazie im Erwachsenenalter
M83.94;Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Osteomalazie im Erwachsenenalter
M83.95;Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Osteomalazie im Erwachsenenalter
M83.96;Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk];Osteomalazie im Erwachsenenalter
M83.97;Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Osteomalazie im Erwachsenenalter
M83.98;Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Osteomalazie im Erwachsenenalter
M83.99;Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation;Osteomalazie im Erwachsenenalter
M84.-;Veränderungen der Knochenkontinuität;Veränderungen der Knochenkontinuität
M84.0-;Frakturheilung in Fehlstellung;Veränderungen der Knochenkontinuität
M84.00;Frakturheilung in Fehlstellung: Mehrere Lokalisationen;Veränderungen der Knochenkontinuität
M84.01;Frakturheilung in Fehlstellung: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Veränderungen der Knochenkontinuität
M84.02;Frakturheilung in Fehlstellung: Oberarm [Humerus, Ellenbogengelenk];Veränderungen der Knochenkontinuität
M84.03;Frakturheilung in Fehlstellung: Unterarm [Radius, Ulna, Handgelenk];Veränderungen der Knochenkontinuität
M84.04;Frakturheilung in Fehlstellung: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];Veränderungen der Knochenkontinuität
M84.05;Frakturheilung in Fehlstellung: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];Veränderungen der Knochenkontinuität
M84.06;Frakturheilung in Fehlstellung: Unterschenkel [Fibula, Tibia, Kniegelenk];Veränderungen der Knochenkontinuität
M84.07;Frakturheilung in Fehlstellung: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];Veränderungen der Knochenkontinuität
M84.08;Frakturheilung in Fehlstellung: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];Veränderungen der Knochenkontinuität
M84.09;Frakturheilung in Fehlstellung: Nicht näher bezeichnete Lokalisation;Veränderungen der Knochenkontinuität
M84.1-;Nichtvereinigung der Frakturenden [Pseudarthrose];Veränderungen der Knochenkontinuität
M84.10;Nichtvereinigung der Frakturenden [Pseudarthrose]: Mehrere Lokalisationen;Veränderungen der Knochenkontinuität
M84.11;Nichtvereinigung der Frakturenden [Pseudarthrose]: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];Veränderungen der Knochenkontinuität
M84.12;Nichtvereinigung der Frakturenden [Pseudarthrose]: Oberarm [Humerus, Ellenbogengelenk];Veränderungen der Knochenkontinuität
